-0.191733,-0.815888,0.902373,0.139696,-0.85701,0.824613,-0.650931,-2.5536,0.224222,-2.04499,0.658928,1.01263,1.78365,-0.445999,-0.36215,1.14435
-0.162484,-0.848483,0.859348,0.271281,-0.886449,0.662914,-0.608887,-3.18187,0.134981,-2.06298,0.519395,0.992485,1.64968,-0.470111,-0.364525,1.07345
-0.125874,-0.854486,0.785096,0.382917,-0.896546,0.500268,-0.555018,-3.7639,0.056957,-2.02476,0.384103,0.944794,1.48368,-0.484084,-0.344948,0.980209
-0.0829607,-0.833777,0.684184,0.472188,-0.887972,0.342208,-0.490653,-4.28902,-0.00845194,-1.93357,0.255661,0.871665,1.28329,-0.4868,-0.305754,0.868719
-0.0351124,-0.787151,0.561814,0.537492,-0.8618,0.193847,-0.417389,-4.74753,-0.0604472,-1.79438,0.136432,0.775932,1.04693,-0.477455,-0.249838,0.743373
0.0160587,-0.716273,0.423635,0.578083,-0.819488,0.0596806,-0.337047,-5.13089,-0.0988198,-1.61358,0.0284524,0.66108,0.773935,-0.4556,-0.180533,0.608744
0.0687709,-0.623624,0.275533,0.594069,-0.762849,-0.0565932,-0.251616,-5.43198,-0.123918,-1.39883,-0.0666351,0.531151,0.464743,-0.42119,-0.10148,0.469432
0.121151,-0.512399,0.123432,0.5864,-0.694009,-0.152212,-0.163198,-5.64525,-0.136595,-1.15868,-0.147637,0.390628,0.120968,-0.374606,-0.0164901,0.329932
0.171315,-0.386398,-0.0269013,0.556811,-0.615359,-0.225454,-0.0739451,-5.76689,-0.138134,-0.902328,-0.213854,0.2443,-0.254519,-0.316661,0.0705891,0.194495
0.217446,-0.249883,-0.170045,0.507752,-0.529499,-0.275697,0.0140021,-5.79492,-0.130163,-0.639203,-0.265102,0.0971202,-0.65756,-0.248598,0.156011,0.0670115
0.25787,-0.107428,-0.301084,0.442293,-0.439169,-0.303431,0.0985756,-5.72925,-0.114558,-0.378685,-0.301725,-0.0459522,-1.08273,-0.17206,0.236253,-0.0490927
0.291118,0.0362412,-0.415754,0.364003,-0.347184,-0.310228,0.177839,-5.57176,-0.0933365,-0.129739,-0.324582,-0.180106,-1.52339,-0.0890518,0.308132,-0.150945
0.315988,0.176415,-0.510554,0.276826,-0.25636,-0.298659,0.250041,-5.3262,-0.0685525,0.0993848,-0.335013,-0.300833,-1.97181,-0.00187951,0.368904,-0.236294
0.331587,0.308565,-0.582835,0.184933,-0.169436,-0.272178,0.313665,-4.99817,-0.0421965,0.301443,-0.334795,-0.404074,-2.41932,0.0869183,0.416339,-0.303552
